user_id,age,gender,signup_date,last_active_date,country,subscription_type,average_watch_hours,mobile_app_usage_pct,complaints_raised,received_promotions,referred_by_friend,is_churned,monthly_fee
1,56,Female,2024-11-20,2026-08-17,Germany,Basic,8.12,50.56,0,0,0,0,8.96
2,69,Other,2024-01-23,2026-08-19,UK,Basic,7.98,63.34,0,0,0,0,9.07
3,46,Female,2025-02-13,2026-08-17,Ireland,Standard,8.11,28.52,1,0,0,0,13.22
4,32,Male,2023-09-18,2026-08-13,Germany,Premium,6.44,87.95,1,1,1,0,17.58
5,60,Other,2026-02-09,2026-08-17,USA,Standard,6.26,56.15,0,0,1,0,13.26
6,25,Female,2026-07-16,2026-07-16,France,Standard,2.35,13.87,0,1,0,1,13.87
7,38,Female,2025-12-31,2026-08-18,Germany,Basic,8.98,59.9,0,0,1,0,9.87
8,56,Female,2025-05-31,2026-08-12,Australia,Standard,8.87,71.53,1,0,0,0,14.0
9,36,Male,2023-09-19,2026-08-15,India,Standard,22.18,26.43,2,1,0,0,13.61
10,40,Male,2023-12-16,2026-08-16,Canada,Standard,20.69,19.03,1,0,0,0,14.36
11,28,Female,2024-06-29,2026-08-16,Ireland,Basic,6.55,47.61,0,1,0,0,8.42
12,28,Female,2023-12-14,2026-08-19,Canada,Basic,1.55,36.46,1,0,1,0,9.12
13,41,Male,2025-07-13,2026-08-16,USA,Standard,4.34,39.72,0,0,1,0,13.49
14,70,Female,2025-05-16,2026-08-10,USA,Standard,4.71,82.06,0,1,0,0,14.53
15,53,Male,2024-08-30,2026-05-07,Australia,Premium,2.63,54.69,1,0,0,1,17.9
16,57,Female,2026-03-25,2026-08-18,Canada,Basic,6.66,86.94,1,0,1,0,8.7
17,41,Male,2024-12-10,2026-08-14,Ireland,Basic,2.34,59.27,0,0,0,0,8.88
18,20,Male,2023-08-16,2026-08-15,USA,Standard,10.66,22.66,1,0,0,0,13.95
19,39,Male,2025-12-06,2026-05-21,France,Premium,2.34,14.68,2,1,1,1,17.65
