,importance
watch_per_fee_ratio,0.22746328807550498
tenure_days,0.18091710565181862
average_watch_hours,0.17961162002353417
mobile_app_usage_pct,0.15732272340302292
monthly_fee,0.0850093151140812
age,0.03390617400364143
subscription_type_Premium,0.02465413720486567
received_promotions,0.024095193718622537
complaints_raised,0.023534976139665247
is_heavy_complainer,0.010742334821314606
referred_by_friend,0.009033395624197806
subscription_type_Standard,0.008816200627924223
is_new_customer,0.007432820956880025
gender_Male,0.006334264273312559
country_India,0.0037678019832508053
country_USA,0.0032011011941693738
country_France,0.0028624982249519557
country_UK,0.002839807036737063
country_Canada,0.0028193813149177717
country_Ireland,0.0027431162613316402
country_Germany,0.0023058483737482633
gender_Other,0.000586895972507156
