age,average_watch_hours,mobile_app_usage_pct,complaints_raised,received_promotions,referred_by_friend,is_churned,monthly_fee,tenure_days,watch_per_fee_ratio,is_heavy_complainer,is_new_customer,gender_Male,gender_Other,country_Canada,country_France,country_Germany,country_India,country_Ireland,country_UK,country_USA,subscription_type_Premium,subscription_type_Standard
56,8.12,50.56,0,0,0,0,8.96,637,0.9062499999999998,0,0,False,False,False,False,True,False,False,False,False,False,False
69,7.98,63.34,0,0,0,0,9.07,939,0.8798235942668137,0,0,False,True,False,False,False,False,False,True,False,False,False
46,8.11,28.52,1,0,0,0,13.22,552,0.6134644478063539,0,0,False,False,False,False,False,False,True,False,False,False,True
32,6.44,87.95,1,1,1,0,17.58,1066,0.36632536973833907,0,0,True,False,False,False,True,False,False,False,False,True,False
60,6.26,56.15,0,0,1,0,13.26,191,0.4720965309200603,0,0,False,True,False,False,False,False,False,False,True,False,True
25,2.35,13.87,0,1,0,1,13.87,34,0.1694304253785148,0,1,False,False,False,True,False,False,False,False,False,False,True
38,8.98,59.9,0,0,1,0,9.87,231,0.9098277608915908,0,0,False,False,False,False,True,False,False,False,False,False,False
56,8.87,71.53,1,0,0,0,14.0,445,0.6335714285714286,0,0,False,False,False,False,False,False,False,False,False,False,True
36,22.18,26.43,2,1,0,0,13.61,1065,1.6296840558412933,1,0,True,False,False,False,False,True,False,False,False,False,True
40,20.69,19.03,1,0,0,0,14.36,977,1.4408077994428972,0,0,True,False,True,False,False,False,False,False,False,False,True
28,6.55,47.61,0,1,0,0,8.42,781,0.7779097387173397,0,0,False,False,False,False,False,False,True,False,False,False,False
28,1.55,36.46,1,0,1,0,9.12,979,0.16995614035087722,0,0,False,False,True,False,False,False,False,False,False,False,False
41,4.34,39.72,0,0,1,0,13.49,402,0.3217197924388436,0,0,True,False,False,False,False,False,False,False,True,False,True
70,4.71,82.06,0,1,0,0,14.53,460,0.3241569167240193,0,0,False,False,False,False,False,False,False,False,True,False,True
53,2.63,54.69,1,0,0,1,17.9,719,0.146927374301676,0,0,True,False,False,False,False,False,False,False,False,True,False
57,6.66,86.94,1,0,1,0,8.7,147,0.7655172413793104,0,0,False,False,True,False,False,False,False,False,False,False,False
41,2.34,59.27,0,0,0,0,8.88,617,0.2635135135135135,0,0,True,False,False,False,False,False,True,False,False,False,False
20,10.66,22.66,1,0,0,0,13.95,1099,0.76415770609319,0,0,True,False,False,False,False,False,False,False,True,False,True
39,2.34,14.68,2,1,1,1,17.65,256,0.13257790368271954,1,0,True,False,False,True,False,False,False,False,False,True,False
70,3.11,53.9,2,0,0,0,8.06,377,0.3858560794044665,1,0,True,False,False,False,False,False,False,False,True,False,False
19,5.33,71.49,0,0,0,0,14.12,170,0.3774787535410765,0,0,False,False,False,False,True,False,False,False,False,False,True
41,11.21,27.44,0,0,0,0,9.25,233,1.211891891891892,0,0,True,False,False,False,False,False,False,False,False,False,False
61,3.09,48.7,0,0,0,0,14.43,1033,0.21413721413721412,0,0,True,False,False,False,False,True,False,False,False,False,True
47,5.01,60.9,0,0,0,0,14.79,890,0.33874239350912777,0,0,False,False,False,False,False,False,False,True,False,False,True
55,15.59,16.04,0,1,0,0,18.46,874,0.8445287107258937,0,0,False,False,False,False,False,True,False,False,False,True,False
19,12.76,24.39,0,0,0,0,9.22,1024,1.3839479392624727,0,0,True,False,False,True,False,False,False,False,False,False,False
38,4.16,63.02,2,0,0,0,9.55,342,0.4356020942408377,1,0,False,True,False,False,False,True,False,False,False,False,False
50,16.68,78.66,0,0,0,0,13.8,166,1.208695652173913,0,0,True,False,False,True,False,False,False,False,False,False,True
29,6.81,57.89,1,0,0,0,8.44,380,0.806872037914692,0,0,False,False,False,False,False,False,False,False,True,False,False
39,14.57,80.12,0,1,0,0,14.18,202,1.027503526093089,0,0,False,False,False,False,False,False,True,False,False,False,True
61,15.5,53.12,1,0,0,1,13.45,108,1.1524163568773236,0,0,True,False,False,False,False,False,True,False,False,False,True
42,4.77,39.2,1,0,0,0,8.93,1008,0.5341545352743561,0,0,True,False,False,False,True,False,False,False,False,False,False
66,4.01,69.93,0,1,0,0,17.85,598,0.22464985994397757,0,0,True,False,False,True,False,False,False,False,False,True,False
44,26.01,22.55,1,1,0,0,9.05,892,2.8740331491712707,0,0,True,False,False,False,False,False,True,False,False,False,False
59,10.04,82.57,0,1,0,1,18.07,86,0.5556170448256779,0,1,False,False,False,False,True,False,False,False,False,True,False
45,2.97,54.17,1,0,0,1,18.04,392,0.16463414634146342,0,0,True,False,False,False,False,False,False,False,True,True,False
33,2.04,28.21,0,0,0,0,13.64,163,0.1495601173020528,0,0,True,False,False,False,False,False,False,False,True,False,True
32,5.16,45.8,0,0,0,1,8.6,43,0.6000000000000001,0,1,True,False,False,False,False,True,False,False,False,False,False
